,Accuracy,Precision,Recall,ROC-AUC,PR-AUC
VGG16-based CNN,0.9445034265518188,0.9598883390426636,0.8707482218742371,0.9059139490127563,0.6594911813735962
Simplified CNN,0.9338821172714233,0.9464677572250366,0.8421767354011536,0.951724112033844,0.5401174426078796
AlexNet,0.9365374445915222,0.8695651888847351,0.626223087310791,0.9476709961891174,0.8363977670669556
VGG19,0.956452488899231,0.9548793435096741,0.8821824789047241,0.9221411347389221,0.7416829466819763
ResNet50,0.9110462069511414,0.9489796161651611,0.36399218440055847,0.9387915134429932,0.8408688306808472
MobileNet,0.9479553699493408,0.913385808467865,0.6810176372528076,0.951887845993042,0.8778766393661499
