,Accuracy,Precision,Recall,ROC-AUC,PR-AUC
VGG16-based CNN,0.6614999771118164,0.5759203433990479,0.24342679977416992,0.23560209572315216,0.36096256971359253
Simplified CNN,0.7239999771118164,0.5590816736221313,0.2290038764476776,0.2269938588142395,0.1978609561920166
AlexNet,0.656499981880188,0.21072088181972504,0.30481284856796265,0.5407416820526123,0.2246728241443634
VGG19,0.675000011920929,0.6719780564308167,0.3222978115081787,0.2934131622314453,0.5240641832351685
ResNet50,0.800000011920929,0.37254902720451355,0.10160427540540695,0.5823121666908264,0.24108226597309113
MobileNet,0.7680000066757202,0.3644578456878662,0.3235294222831726,0.6802387237548828,0.3316015899181366
